manufacturer,productName,releaseYear,memSize,memBusWidth,gpuClock,memClock,bus,memType,G3Dmark
NVIDIA,GeForce 930A,2015,2.0,64,928,1001,PCIe 3.0 x8,DDR3,1082
NVIDIA,GeForce 930M,2015,2.0,64,928,900,PCIe 3.0 x8,DDR3,1011
NVIDIA,GeForce 940A,2015,2.0,64,1072,1001,PCIe 3.0 x8,DDR3,1145
NVIDIA,GeForce 940A,2015,1.024,64,1029,1001,PCIe 3.0 x8,DDR3,1145
NVIDIA,GeForce 940M,2015,2.0,64,1020,900,MXM-B (3.0),DDR3,1106
NVIDIA,GeForce 940M,2015,2.0,64,1072,900,PCIe 3.0 x8,DDR3,1106
NVIDIA,GeForce 945A,2015,1.024,64,1006,1253,PCIe 3.0 x8,GDDR5,1852
NVIDIA,GeForce GTX 950,2015,2.0,128,1024,1653,PCIe 3.0 x16,GDDR5,5392
NVIDIA,GeForce GTX 950A,2015,2.0,128,993,1001,MXM-B (3.0),DDR3,2483
NVIDIA,GeForce GTX 950M,2015,4.0,128,993,900,PCIe 3.0 x8,DDR3,2602
NVIDIA,GeForce GTX 960,2015,2.0,128,1127,1753,PCIe 3.0 x16,GDDR5,6042
NVIDIA,GeForce GTX 960A,2015,2.0,128,1029,1253,MXM-B (3.0),GDDR5,2411
NVIDIA,GeForce GTX 960M,2015,4.0,128,1097,1253,MXM-B (3.0),GDDR5,3419
NVIDIA,GeForce GTX 980 Ti,2015,6.0,384,1000,1753,PCIe 3.0 x16,GDDR5,13864
NVIDIA,GeForce GTX TITAN X,2015,12.0,384,1000,1753,PCIe 3.0 x16,GDDR5,13173
NVIDIA,GRID M60-1Q,2015,1.024,256,557,1253,PCIe 3.0 x16,GDDR5,4251
NVIDIA,GRID M60-2Q,2015,2.0,256,557,1253,PCIe 3.0 x16,GDDR5,4316
NVIDIA,GRID M60-8Q,2015,8.0,256,557,1253,PCIe 3.0 x16,GDDR5,3884
NVIDIA,GRID M6-8Q,2015,8.0,256,722,1253,PCIe 3.0 x16,GDDR5,3568
NVIDIA,NVS 810,2015,2.0,64,902,900,PCIe 3.0 x16,DDR3,1141
NVIDIA,Quadro K1200,2015,4.0,128,1058,1250,PCIe 2.0 x16,GDDR5,2874
NVIDIA,Quadro K620M,2015,2.0,64,1029,900,MXM-A (3.0),DDR3,1157
NVIDIA,Quadro M1000M,2015,2.0,128,993,1253,MXM-A (3.0),GDDR5,2987
NVIDIA,Quadro M2000M,2015,4.0,128,1029,1253,MXM-A (3.0),GDDR5,3539
NVIDIA,Quadro M3000M,2015,4.0,256,1050,1253,PCIe 3.0 x16,GDDR5,5678
NVIDIA,Quadro M4000,2015,8.0,256,773,1502,PCIe 3.0 x16,GDDR5,6644
NVIDIA,Quadro M4000M,2015,4.0,256,975,1253,PCIe 3.0 x16,GDDR5,6530
NVIDIA,Quadro M5000,2015,8.0,256,861,1653,PCIe 3.0 x16,GDDR5,9262
NVIDIA,Quadro M5000M,2015,8.0,256,975,1253,MXM-B (3.0),GDDR5,6807
NVIDIA,Quadro M6000,2015,12.0,384,988,1653,PCIe 3.0 x16,GDDR5,11397
NVIDIA,Quadro M600M,2015,2.0,128,837,1253,MXM-A (3.0),GDDR5,2008
AMD,Radeon E6465,2015,2.0,64,600,800,PCIe 2.0 x16,GDDR5,231
AMD,Radeon R5 M315,2015,2.0,64,970,900,PCIe 3.0 x8,DDR3,476
AMD,Radeon R5 M320,2015,4.0,64,780,1000,PCIe 3.0 x8,DDR3,418
AMD,Radeon R5 M330,2015,2.0,64,955,900,PCIe 3.0 x8,DDR3,596
AMD,Radeon R5 M335,2015,2.0,64,1070,900,PCIe 3.0 x8,DDR3,549
AMD,Radeon R7 360,2015,2.0,128,1000,1500,PCIe 3.0 x16,GDDR5,3034
AMD,Radeon R7 370,2015,2.0,256,925,1400,PCIe 3.0 x16,GDDR5,4479
AMD,Radeon R7 A360,2015,2.0,64,1100,900,PCIe 3.0 x8,DDR3,676
AMD,Radeon R7 A360,2015,2.0,128,725,900,PCIe 3.0 x8,DDR3,676
AMD,Radeon R7 A360,2015,1.024,128,900,900,PCIe 3.0 x8,GDDR5,676
AMD,Radeon R7 M260X,2015,1.024,128,620,1000,PCIe 3.0 x8,GDDR5,947
AMD,Radeon R7 M340,2015,2.0,64,943,1000,PCIe 3.0 x8,DDR3,646
AMD,Radeon R7 M340,2015,1.024,64,620,1000,PCIe 3.0 x8,DDR3,646
AMD,Radeon R7 M350,2015,4.0,64,1000,1000,PCIe 3.0 x8,DDR3,1027
AMD,Radeon R7 M350,2015,2.0,64,725,900,PCIe 3.0 x8,DDR3,1027
AMD,Radeon R7 M360,2015,2.0,64,1100,900,PCIe 3.0 x8,DDR3,552
AMD,Radeon R7 M365X,2015,1.024,128,900,1000,PCIe 3.0 x8,GDDR5,884
AMD,Radeon R7 M370,2015,4.0,128,900,1150,PCIe 3.0 x8,GDDR5,1418
AMD,Radeon R7 M380,2015,4.0,128,900,1000,PCIe 3.0 x16,DDR3,1669
AMD,Radeon R9 370,2015,2.0,256,925,1400,PCIe 3.0 x16,GDDR5,4722
AMD,Radeon R9 380,2015,2.0,256,970,1375,PCIe 3.0 x16,GDDR5,6275
AMD,Radeon R9 380X,2015,4.0,256,970,1425,PCIe 3.0 x16,GDDR5,6189
AMD,Radeon R9 390,2015,8.0,512,1000,1500,PCIe 3.0 x16,GDDR5,9008
AMD,Radeon R9 390X,2015,8.0,512,1050,1500,PCIe 3.0 x16,GDDR5,9503
AMD,Radeon R9 A375,2015,2.0,128,900,1125,PCIe 3.0 x16,GDDR5,1024
AMD,Radeon R9 M270X,2015,2.0,128,900,1375,PCIe 3.0 x16,GDDR5,1204
AMD,Radeon R9 M270X,2014,2.0,128,725,1000,PCIe 3.0 x16,GDDR5,1204
AMD,Radeon R9 M280X,2015,4.0,128,900,1375,PCIe 3.0 x16,GDDR5,922
AMD,Radeon R9 M280X,2015,2.0,128,1000,1500,PCIe 3.0 x16,GDDR5,922
AMD,Radeon R9 M360,2015,4.0,128,900,1125,PCIe 3.0 x16,GDDR5,1753
AMD,Radeon R9 M365X,2015,4.0,128,900,1125,PCIe 3.0 x16,GDDR5,1482
AMD,Radeon R9 M375,2015,2.0,128,1000,900,PCIe 3.0 x16,DDR3,763
AMD,Radeon R9 M375X,2015,2.0,128,925,1125,PCIe 3.0 x16,GDDR5,1843
AMD,Radeon R9 M380,2015,4.0,128,900,1500,PCIe 3.0 x16,GDDR5,2931
AMD,Radeon R9 M385,2015,4.0,128,900,1200,PCIe 3.0 x16,GDDR5,2018
AMD,Radeon R9 M385X,2015,4.0,128,1000,1200,PCIe 3.0 x16,GDDR5,1929
AMD,Radeon R9 M390X,2015,4.0,256,723,1250,PCIe 3.0 x16,GDDR5,3021
AMD,Radeon R9 M395X,2015,8.0,256,723,1250,PCIe 3.0 x16,GDDR5,4775
NVIDIA,Tesla M40,2015,12.0,384,948,1502,PCIe 3.0 x16,GDDR5,10117
